iteration,TP,FP,TN,FN,precision,recall,f1_score,mAP50,mAP50_95
1,513,0,0,9,1.0,0.9827586206896551,0.9913043478260869,0.9908,0.8120114748559024
2,517,0,0,5,0.9961315280464217,0.9865900383141762,0.9913378248315687,0.992408915264185,0.8111404824467755
3,518,2,0,4,0.9979016938961596,0.9923371647509579,0.9951116503616333,0.994980732177264,0.8314316036132613
4,517,1,0,5,1.0,0.9903587030612936,0.9951560003109602,0.995,0.8297943694295885
5,520,2,0,2,0.9995779202537892,0.9961685823754789,0.9978703392251596,0.995,0.8152031530024816
6,519,1,0,3,1.0,0.9936876004136843,0.9968338070693694,0.995,0.8302982302551308
7,521,2,0,1,0.9980804879840767,0.9961030740345884,0.9970908006166541,0.995,0.8199308332891462
8,520,1,0,2,1.0,0.9960715196413067,0.9980318939877469,0.995,0.8318033144693503
9,520,2,0,2,0.9979103334374355,0.9961685823754789,0.9970386972302528,0.995,0.8434083759836076
10,518,0,0,4,1.0,0.9923371647509579,0.9961538461538463,0.995,0.8390766073433358
